shopCode,name,proposedCategory,proposedSubcategory,confidence,status,group,explanation,correct,correctCategory,reviewerComment
ДВГ-02188,"Фильтр ТОТ в сб. со сменным фильтром МАЗ, КРАЗ, УРАЛ",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ЗЧМ-00031,Сальник кожуха 2141,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ЗЧМ-00086,Переходник масляного фильтра Москвич,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ЗЧМ-00606,Резинка воздушного фильтра и печки 2141,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ИН-00782,Фильтр,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
К-00554,Ремкомплект воздушного фильтра 2110,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ПС-00109,Комплект сальников кол.вала 2108-09,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ПСГ-00019,Сальник кол. вала зад дв.260 ЕВР 110х135,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ПСГ-00028,15059000 Сальник к/вала CHRYSLER 32х45,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ПСГ-00226,Набор сальников 3110 Гура,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ПСГ-00320,Сальник хвостовика УАЗ 2 пруж.,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
ПСГ-00376,Сальник 100х125х12-СК в коробке,dvigatel-i-transmissiya,detali-dvigatelya,0.76,MANUAL_REVIEW,legacy_dvigatel-i-transmissiya_detali-dvigatelya|сальник|dvigatel-i-transmissiya|detali-dvigatelya,"Кандидат ""detali-dvigatelya"" слабый: legacy:сальник, legacy:сальник.",,,
РГ-00156,Ремкомплект масляного фильтра Волга (сили,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
А-00082,Фильтр нулевой (тюнинг) хром,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
А-00182,"AUX Провод USB 1,5 м",elektrika,provodka,0.76,MANUAL_REVIEW,wiring|провод|elektrika|provodka,"Кандидат ""Проводка"" слабый: legacy:провод, legacy:провод.",,,
А-00440,Фильтр радиопомех,filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
Г-00306,"Труба промежуточная Г-33106, Г-зон NEXT (дв. ЯМЗ-534) замена сажевого фильтра",filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ГСМ-00015,"OIL RIGHT Жидкость ""И-М"", 1 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00016,Жидкость HYUNDAI PSF-3 желтый 1 л 03100-00110,filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00024,"ВАЛЕРА 9205 Жидкость ГУР минер. красная -30*С, 1 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00099,Низкозамерзающая жидкость 5л,filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00329,"""Маннол"" Синтетическая жидкость для ГУР,",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00524,"Лукойл Жидкость промывочная, 4 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00646,"Гидроусилитель руля (жидкость), 0.32 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00667,HG7039R Жидкость для гидроусилителя руля,filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00669,"HG7042R Жидкость для гидроусилителя руля, 946 мл",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00726,"LAVR 1324 Концентрат -80С зимняя незамерзающая жидкость, 1 л",filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
ГСМ-00883,Фильтр топл. для дизелей GB-613(BIG),filtry-i-masla,maslyanye-filtry,0.76,MANUAL_REVIEW,oil_filter|фильтр|filtry-i-masla|maslyanye-filtry,"Кандидат ""Масляные фильтры"" слабый: legacy:фильтр, legacy:фильтр.",,,
ГСМ-01051,FEBI 08972 Жидкость ГУР 1 л (ATF желт./корич.) D-II,filtry-i-masla,zhidkosti,0.76,MANUAL_REVIEW,brake_fluid|жидкость|filtry-i-masla|zhidkosti,"Кандидат ""Тормозная жидкость"" слабый: legacy:жидкость, legacy:жидкость.",,,
